ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
VersionComponent,2667e024-c1f2-43a6-9dbe-618df2e9760b,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,FINISH,335,Version0
BenchmarkComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,OnInit_OnParam,175,Version0
BenchmarkComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,OnParam_OnAfterRender,334,Version0
BenchmarkComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,SetParam,171,Version0
BenchmarkComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,SetParam_OnInit,175,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,FINISH,330,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,GenerateOrders,138,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,OnInit_OnParam,165,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,OnParam_OnAfterRender,320,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,PopulateChartOrderState,12,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,SetParam,5,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,SetParam_OnInit,11,Version0
VersionComponent,26710e44-04ce-41a0-89ed-d1a09d7350f3,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,31509664-abfc-44d9-8f42-0df8673f958c,FINISH,341,Version0
BenchmarkComponent,31509664-abfc-44d9-8f42-0df8673f958c,OnInit_OnParam,175,Version0
BenchmarkComponent,31509664-abfc-44d9-8f42-0df8673f958c,OnParam_OnAfterRender,341,Version0
BenchmarkComponent,31509664-abfc-44d9-8f42-0df8673f958c,SetParam,171,Version0
BenchmarkComponent,31509664-abfc-44d9-8f42-0df8673f958c,SetParam_OnInit,175,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,FINISH,337,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,GenerateOrders,138,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,OnInit_OnParam,165,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,OnParam_OnAfterRender,327,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,PopulateChartOrderState,12,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,SetParam,5,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,SetParam_OnInit,11,Version0
VersionComponent,31509664-abfc-44d9-8f42-0df8673f958c,VisualizeOrderStatusSuccess,9,Version0
BenchmarkComponent,3166a869-f755-45f6-adfe-16eb21edcc97,FINISH,327,Version0
BenchmarkComponent,3166a869-f755-45f6-adfe-16eb21edcc97,OnInit_OnParam,176,Version0
BenchmarkComponent,3166a869-f755-45f6-adfe-16eb21edcc97,OnParam_OnAfterRender,327,Version0
BenchmarkComponent,3166a869-f755-45f6-adfe-16eb21edcc97,SetParam,172,Version0
BenchmarkComponent,3166a869-f755-45f6-adfe-16eb21edcc97,SetParam_OnInit,176,Version0
VersionComponent,3166a869-f755-45f6-adfe-16eb21edcc97,FINISH,323,Version0
