ObjInstance,Identifier,MethodName,ElapsedMilliseconds,Version
BenchmarkComponent,58da9005-300d-4025-903b-3b111ce6c22d,FINISH,478,Version0
BenchmarkComponent,58da9005-300d-4025-903b-3b111ce6c22d,OnInit_OnParam,411,Version0
BenchmarkComponent,58da9005-300d-4025-903b-3b111ce6c22d,OnParam_OnAfterRender,478,Version0
BenchmarkComponent,58da9005-300d-4025-903b-3b111ce6c22d,SetParam,408,Version0
BenchmarkComponent,58da9005-300d-4025-903b-3b111ce6c22d,SetParam_OnInit,411,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,FINISH,473,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,GenerateOrders,356,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,OnInit_OnParam,393,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,OnParam_OnAfterRender,457,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,PopulateChartOrderState,11,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,SetParam,9,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,SetParam_OnInit,22,Version0
VersionComponent,58da9005-300d-4025-903b-3b111ce6c22d,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,FINISH,479,Version0
BenchmarkComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,OnInit_OnParam,413,Version0
BenchmarkComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,OnParam_OnAfterRender,479,Version0
BenchmarkComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,SetParam,409,Version0
BenchmarkComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,SetParam_OnInit,412,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,FINISH,474,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,GenerateOrders,358,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,OnInit_OnParam,395,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,OnParam_OnAfterRender,458,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,PopulateChartOrderState,11,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,SetParam,9,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,SetParam_OnInit,22,Version0
VersionComponent,5cb9719d-55d8-4eeb-acbc-98fe6b3b1591,VisualizeOrderStatusSuccess,15,Version0
BenchmarkComponent,635b8f40-a085-475e-84dd-64e14ceb6337,FINISH,478,Version0
BenchmarkComponent,635b8f40-a085-475e-84dd-64e14ceb6337,OnInit_OnParam,411,Version0
BenchmarkComponent,635b8f40-a085-475e-84dd-64e14ceb6337,OnParam_OnAfterRender,478,Version0
BenchmarkComponent,635b8f40-a085-475e-84dd-64e14ceb6337,SetParam,408,Version0
BenchmarkComponent,635b8f40-a085-475e-84dd-64e14ceb6337,SetParam_OnInit,411,Version0
